Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/1/16, 04:40:57.719, 2044.5, 2044.9, 2044.3, 2044.3, 159, 148, 74, 85
2024/1/16, 04:41:26.020, 2044.2, 2044.7, 2044.1, 2044.7, 151, 136, 68, 83
2024/1/16, 04:41:48.610, 2044.8, 2045.3, 2044.7, 2045.3, 104, 89, 38, 66
2024/1/16, 04:42:03.449, 2045.4, 2046.0, 2045.4, 2045.4, 123, 95, 34, 89
2024/1/16, 04:42:04.120, 2045.3, 2045.8, 2045.2, 2045.8, 189, 163, 90, 99
2024/1/16, 04:42:22.056, 2045.9, 2046.3, 2045.7, 2046.3, 102, 70, 25, 77
2024/1/16, 04:42:27.670, 2046.4, 2046.9, 2046.3, 2046.9, 162, 129, 68, 94
2024/1/16, 04:42:28.759, 2047.0, 2047.2, 2046.6, 2046.6, 249, 91, 214, 35
2024/1/16, 04:42:28.962, 2046.5, 2046.7, 2046.1, 2046.7, 246, 215, 100, 146
2024/1/16, 04:42:45.186, 2046.8, 2047.4, 2046.8, 2047.4, 260, 188, 106, 154
2024/1/16, 04:42:46.242, 2047.5, 2047.6, 2047.0, 2047.0, 231, 102, 213, 18
2024/1/16, 04:42:46.563, 2046.9, 2047.2, 2046.6, 2047.2, 349, 270, 174, 175
2024/1/16, 04:43:01.943, 2047.3, 2047.3, 2046.7, 2046.7, 109, 74, 84, 25
2024/1/16, 04:43:06.940, 2046.5, 2046.6, 2046.0, 2046.0, 70, 65, 44, 26
2024/1/16, 04:43:12.995, 2045.9, 2046.2, 2045.6, 2046.2, 234, 188, 87, 147
2024/1/16, 04:43:25.196, 2046.3, 2046.9, 2046.3, 2046.9, 155, 105, 17, 138
2024/1/16, 04:43:25.215, 2047.0, 2047.5, 2046.9, 2047.5, 151, 112, 67, 84
2024/1/16, 04:43:26.666, 2047.6, 2048.0, 2047.4, 2048.0, 222, 130, 47, 175
2024/1/16, 04:43:26.724, 2048.1, 2048.1, 2047.5, 2048.1, 259, 186, 152, 107
2024/1/16, 04:43:29.191, 2048.2, 2048.3, 2047.7, 2047.7, 448, 154, 405, 43
2024/1/16, 04:43:30.531, 2047.6, 2047.6, 2047.0, 2047.0, 135, 118, 60, 75
2024/1/16, 04:43:31.984, 2046.9, 2047.5, 2046.9, 2047.5, 64, 54, 31, 33
2024/1/16, 04:43:34.564, 2047.6, 2048.1, 2047.5, 2047.5, 259, 194, 171, 88
2024/1/16, 04:43:47.735, 2047.4, 2047.9, 2047.3, 2047.9, 123, 74, 4, 119
2024/1/16, 04:43:48.914, 2048.0, 2048.4, 2047.8, 2048.4, 81, 77, 41, 40
2024/1/16, 04:43:49.749, 2048.5, 2048.9, 2048.3, 2048.3, 537, 316, 312, 225
2024/1/16, 04:43:50.741, 2048.2, 2048.2, 2047.6, 2047.6, 50, 49, 43, 7
2024/1/16, 04:43:51.011, 2047.5, 2048.0, 2047.4, 2048.0, 71, 67, 39, 32
2024/1/16, 04:43:52.611, 2048.1, 2048.5, 2047.9, 2047.9, 96, 82, 31, 65
2024/1/16, 04:43:56.961, 2047.8, 2048.0, 2047.4, 2047.4, 242, 215, 117, 125
2024/1/16, 04:44:21.404, 2047.3, 2047.4, 2046.8, 2047.4, 284, 226, 212, 72
2024/1/16, 04:44:42.864, 2047.5, 2047.5, 2046.9, 2046.9, 65, 56, 51, 14
2024/1/16, 04:44:54.707, 2046.8, 2047.1, 2046.5, 2046.5, 120, 109, 53, 67
2024/1/16, 04:45:04.980, 2046.4, 2046.6, 2046.0, 2046.0, 274, 224, 171, 103
2024/1/16, 04:45:31.173, 2045.8, 2046.3, 2045.7, 2046.3, 383, 301, 242, 141
2024/1/16, 04:46:02.502, 2046.4, 2046.4, 2045.8, 2045.8, 74, 65, 53, 21
2024/1/16, 04:46:14.847, 2045.7, 2045.7, 2045.1, 2045.1, 191, 114, 135, 56
2024/1/16, 04:46:26.024, 2045.0, 2045.2, 2044.6, 2044.6, 173, 113, 117, 56
2024/1/16, 04:46:34.614, 2044.5, 2044.9, 2044.3, 2044.3, 187, 162, 88, 99
2024/1/16, 04:46:47.517, 2044.2, 2044.6, 2044.0, 2044.0, 229, 199, 116, 113
2024/1/16, 04:47:11.569, 2043.9, 2044.2, 2043.6, 2043.6, 233, 205, 128, 105
2024/1/16, 04:47:48.017, 2043.5, 2043.8, 2043.2, 2043.8, 341, 298, 182, 159
2024/1/16, 04:48:19.810, 2043.9, 2044.0, 2043.4, 2043.4, 185, 144, 95, 90
2024/1/16, 04:48:46.194, 2043.3, 2043.9, 2043.3, 2043.3, 111, 94, 71, 40
2024/1/16, 04:49:04.206, 2043.2, 2043.6, 2043.0, 2043.6, 138, 120, 62, 76
2024/1/16, 04:49:28.251, 2043.7, 2043.7, 2043.1, 2043.1, 119, 108, 55, 64
2024/1/16, 04:50:00, 2043.0, 2043.1, 2042.5, 2042.5, 152, 123, 101, 51
2024/1/16, 04:50:09.628, 2042.4, 2043.0, 2042.4, 2043.0, 52, 52, 19, 33
2024/1/16, 04:50:18.659, 2043.1, 2043.7, 2043.1, 2043.7, 111, 100, 53, 58
2024/1/16, 04:50:39.687, 2043.8, 2044.3, 2043.7, 2044.3, 97, 93, 36, 61
2024/1/16, 04:51:00.681, 2044.4, 2044.4, 2043.8, 2043.8, 114, 99, 56, 58
2024/1/16, 04:51:33.199, 2043.7, 2043.9, 2043.3, 2043.9, 179, 156, 86, 93
2024/1/16, 04:52:44.390, 2044.0, 2044.0, 2043.4, 2043.4, 39, 38, 28, 11
2024/1/16, 04:53:01.813, 2043.3, 2043.4, 2042.8, 2042.8, 49, 45, 35, 14
2024/1/16, 04:53:04.242, 2042.7, 2042.9, 2042.3, 2042.3, 140, 124, 86, 54
2024/1/16, 04:53:22.224, 2042.2, 2042.6, 2042.0, 2042.0, 225, 166, 144, 81
2024/1/16, 04:53:36.246, 2041.9, 2042.3, 2041.7, 2041.7, 342, 291, 201, 141
2024/1/16, 04:54:34.511, 2041.6, 2042.0, 2041.4, 2041.4, 148, 137, 66, 82
2024/1/16, 04:55:20.099, 2041.3, 2041.7, 2041.1, 2041.7, 160, 145, 80, 80
2024/1/16, 04:56:04.563, 2041.8, 2041.8, 2041.2, 2041.2, 35, 32, 18, 17
2024/1/16, 04:56:16.656, 2041.1, 2041.5, 2040.9, 2040.9, 126, 96, 67, 59
2024/1/16, 04:56:45.691, 2040.8, 2041.4, 2040.8, 2041.4, 227, 183, 98, 129
2024/1/16, 04:57:28.131, 2041.5, 2042.0, 2041.4, 2042.0, 180, 159, 74, 106
2024/1/16, 04:58:09.080, 2042.1, 2042.4, 2041.8, 2041.8, 118, 111, 55, 63
2024/1/16, 04:59:03.776, 2041.7, 2041.8, 2041.2, 2041.2, 102, 73, 83, 19
2024/1/16, 04:59:20.422, 2041.1, 2041.3, 2040.7, 2041.3, 168, 124, 117, 51
2024/1/16, 04:59:40.129, 2041.4, 2041.7, 2041.1, 2041.7, 87, 80, 32, 55
2024/1/16, 05:00:06.537, 2041.8, 2042.3, 2041.7, 2042.3, 9, 9, 1, 8
2024/1/16, 05:00:07.768, 2042.4, 2042.6, 2042.0, 2042.0, 192, 153, 67, 125
2024/1/16, 05:00:37.844, 2041.9, 2042.0, 2041.4, 2041.4, 35, 31, 21, 14
2024/1/16, 05:00:48.534, 2041.3, 2041.3, 2040.7, 2041.3, 145, 130, 88, 57
2024/1/16, 05:01:01.111, 2041.4, 2041.6, 2041.0, 2041.6, 73, 66, 27, 46
2024/1/16, 05:01:16.509, 2041.7, 2042.0, 2041.4, 2042.0, 39, 36, 15, 24
2024/1/16, 05:01:33.930, 2042.1, 2042.4, 2041.8, 2042.4, 82, 61, 32, 50
2024/1/16, 05:02:00.107, 2042.5, 2043.0, 2042.4, 2042.4, 62, 55, 23, 39
2024/1/16, 05:02:07.853, 2042.3, 2042.9, 2042.3, 2042.9, 53, 47, 15, 38
2024/1/16, 05:02:21.420, 2043.0, 2043.0, 2042.4, 2042.4, 107, 92, 55, 52
2024/1/16, 05:03:00.770, 2042.3, 2042.8, 2042.2, 2042.8, 46, 40, 17, 29
2024/1/16, 05:03:22.317, 2042.9, 2043.3, 2042.7, 2042.7, 175, 164, 91, 84
2024/1/16, 05:04:25.369, 2042.6, 2042.7, 2042.1, 2042.1, 50, 49, 29, 21
2024/1/16, 05:04:48.966, 2042.0, 2042.5, 2041.9, 2041.9, 146, 128, 60, 86
2024/1/16, 05:05:33.175, 2041.8, 2041.9, 2041.3, 2041.9, 114, 91, 64, 50
2024/1/16, 05:06:08.008, 2042.0, 2042.4, 2041.8, 2042.4, 117, 98, 39, 78
2024/1/16, 05:07:07.754, 2042.5, 2043.1, 2042.5, 2043.1, 80, 80, 36, 44
2024/1/16, 05:07:40.175, 2043.2, 2043.7, 2043.1, 2043.7, 221, 178, 82, 139
2024/1/16, 05:08:24.732, 2043.8, 2043.8, 2043.2, 2043.2, 84, 73, 50, 34
2024/1/16, 05:09:10.094, 2043.1, 2043.7, 2043.1, 2043.7, 71, 68, 27, 44
2024/1/16, 05:09:49.998, 2043.8, 2044.4, 2043.8, 2044.4, 90, 79, 30, 60
2024/1/16, 05:10:05.114, 2044.5, 2044.8, 2044.2, 2044.8, 96, 91, 43, 53
2024/1/16, 05:10:21.023, 2044.9, 2045.1, 2044.5, 2045.1, 298, 261, 167, 131
